customer_id,month,seats_active,api_calls,storage_gb,support_tickets
CUST-2001,2026-05,33,103620,132,3
CUST-2001,2026-06,35,307580,140,6
CUST-2001,2026-07,40,323360,160,4
CUST-2002,2026-05,64,279552,256,6
CUST-2002,2026-06,64,297600,256,5
CUST-2002,2026-07,66,248028,264,2
CUST-2003,2026-05,66,179124,264,1
CUST-2003,2026-06,62,485398,248,6
CUST-2003,2026-07,62,535618,248,6
CUST-2004,2026-05,31,213652,124,2
CUST-2004,2026-06,32,219840,128,1
CUST-2004,2026-07,33,198495,132,5
CUST-2005,2026-05,71,333132,284,0
CUST-2005,2026-06,73,264479,292,2
CUST-2005,2026-07,73,377264,292,0
CUST-2006,2026-05,64,504256,256,1
CUST-2006,2026-06,70,434630,280,4
CUST-2006,2026-07,79,225624,316,4
CUST-2007,2026-05,92,315284,368,3
CUST-2007,2026-06,91,763581,364,4
CUST-2007,2026-07,86,765400,344,5
CUST-2008,2026-05,126,719964,504,0
CUST-2008,2026-06,116,408088,464,1
CUST-2008,2026-07,118,817740,472,3
CUST-2009,2026-05,148,466348,592,3
CUST-2009,2026-06,151,653830,604,0
CUST-2009,2026-07,152,984808,608,4
CUST-2010,2026-05,153,1269594,612,1
CUST-2010,2026-06,148,601768,592,4
CUST-2010,2026-07,152,1190160,608,4
CUST-2011,2026-05,197,1217657,788,5
CUST-2011,2026-06,200,1789000,800,3
CUST-2011,2026-07,201,970428,804,3
CUST-2012,2026-05,201,1756740,804,0
CUST-2012,2026-06,194,953316,776,0
CUST-2012,2026-07,190,1163750,760,0
CUST-2013,2026-05,222,862914,888,6
CUST-2013,2026-06,220,1470700,880,5
CUST-2013,2026-07,219,721605,876,0
CUST-2014,2026-05,213,1603038,852,1
CUST-2014,2026-06,219,1596729,876,1
CUST-2014,2026-07,224,1190784,896,5
CUST-2015,2026-05,225,1345725,900,3
CUST-2015,2026-06,231,1242780,924,0
CUST-2015,2026-07,242,1650440,968,1
CUST-2016,2026-05,242,1644390,968,5
